YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,EQ_PRIMARY,INTENSITY,COUNTRY,LOCATION_NAME,STATE,LATITUDE,LONGITUDE,DEATHS,INJURIES,Depth
1939,11.0,21.0,8.0,43.0,0.0,5.9,7.0,TURKEY,TURKEY:  ERZINCAN,no info,39.7,40.4,13.0,0.0,80.0
1939,11.0,21.0,11.0,2.0,0.0,6.9,0.0,AFGHANISTAN,AFGHANISTAN,no info,36.3,70.6,0.0,0.0,220.0
1939,12.0,21.0,21.0,0.0,40.0,8.0,0.0,INDONESIA,"INDONESIA:  CENTRTAL SULAWESI:  KALO,LUWUK,SULA I",no info,0.0,123.0,0.0,0.0,150.0
1939,12.0,26.0,23.0,57.0,22.6,7.7,12.0,TURKEY,TURKEY:  ERZINCAN,no info,39.77,39.533,32700.0,0.0,35.0
1940,1.0,15.0,13.0,19.0,24.0,4.8,8.0,ITALY,ITALY,no info,38.1,13.5,0.0,0.0,15.0
1940,1.0,15.0,0.0,0.0,0.0,0.0,0.0,ARGENTINA,ARGENTINA:  SAN JUAN,no info,-31.0,-69.0,0.0,0.0,0.0
1940,1.0,19.0,5.0,23.0,48.0,6.0,0.0,CHINA,CHINA:  NEI MONGOL,no info,42.7,121.3,0.0,0.0,0.0
1940,2.0,20.0,0.0,0.0,0.0,0.0,0.0,NICARAGUA,"NICARAGUA:  CORINTO,CHINANDEGA",no info,12.5,-87.5,0.0,0.0,0.0
1940,2.0,20.0,0.0,0.0,0.0,0.0,9.0,TURKEY,"TURKEY:  KAYSERI,DEVELI",no info,38.4,35.5,37.0,0.0,0.0
1940,4.0,6.0,13.0,43.0,2.0,6.0,8.0,CHINA,CHINA:  YUNNAN PROVINCE,no info,23.9,102.3,181.0,475.0,0.0
1940,5.0,7.0,22.0,23.0,0.0,6.0,0.0,TURKEY,TURKEY-CIS,no info,41.7,43.8,16.0,0.0,19.0
1940,5.0,19.0,4.0,36.0,40.9,7.2,10.0,USA,CALIFORNIA; MEXICO,CA,32.733000000000004,-115.5,9.0,0.0,16.0
1940,5.0,24.0,16.0,33.0,57.0,8.2,10.0,PERU,PERU,no info,-10.5,-77.0,179.0,3500.0,60.0
1940,6.0,19.0,0.0,0.0,0.0,5.5,7.0,CHINA,CHINA:  YUNNAN PROVINCE,no info,24.4,102.5,2.0,20.0,0.0
1940,7.0,14.0,5.0,52.0,53.5,7.4,0.0,USA,ALASKA:  ALEUTIAN ISLANDS:  RAT ISLANDS,AK,52.0,178.2,0.0,0.0,65.0
1940,8.0,1.0,15.0,8.0,24.0,7.5,9.0,JAPAN,JAPAN:  W. HOKKAIDO ISLAND,no info,44.2,139.5,0.0,0.0,10.0
1940,8.0,5.0,9.0,55.0,15.0,5.8,8.0,CHINA,CHINA:  LIAONING PROVINCE,no info,40.2,122.0,0.0,0.0,0.0
1940,10.0,4.0,7.0,54.0,42.0,7.3,0.0,CHILE,CHILE:  NORTHERN,no info,-22.0,-71.0,0.0,0.0,75.0
1940,10.0,11.0,18.0,41.0,13.0,7.0,0.0,CHILE,CHILE:  SOUTH CENTRAL,no info,-41.5,-74.5,0.0,0.0,33.0
1940,11.0,10.0,1.0,39.0,0.0,7.3,10.0,ROMANIA,ROMANIA,no info,45.8,26.8,1000.0,0.0,150.0
1941,1.0,11.0,8.0,32.0,59.0,5.9,8.0,YEMEN,YEMEN:  RAZIH,no info,16.4,43.5,1200.0,200.0,0.0
1941,1.0,13.0,16.0,27.0,44.7,7.4,0.0,PAPUA NEW GUINEA,PAPUA NEW GUINEA:  BISMARCK SEA,no info,-4.175,152.071,4.0,0.0,15.0
1941,2.0,9.0,9.0,44.0,4.0,6.6,6.0,USA,CALIFORNIA:  NORTHERN,CA,40.5,-125.25,0.0,0.0,0.0
1941,2.0,16.0,16.0,38.0,0.0,6.3,0.0,IRAN,IRAN:  MOHAMMADABAD,no info,33.5,58.6,730.0,0.0,0.0
1941,3.0,16.0,18.0,48.0,0.0,0.0,0.0,ITALY,ITALY:  CALABRIA,no info,38.3,12.2,0.0,0.0,0.0
1941,4.0,15.0,19.0,9.0,0.0,7.9,7.0,MEXICO,"MEXICO:  MICHOACAN, COLIMA, JALISCO",no info,18.9,-102.9,0.0,0.0,60.0
1941,5.0,5.0,15.0,18.0,27.0,6.0,8.0,CHINA,CHINA:  HEILONGJIANG PROVINCE,no info,47.0,127.2,132.0,203.0,0.0
1941,5.0,16.0,7.0,14.0,32.0,7.0,9.0,CHINA,CHINA:  YUNNAN PROVINCE,no info,23.6,99.4,0.0,0.0,0.0
1941,6.0,26.0,11.0,52.0,3.7,8.0,0.0,INDIA,"INDIA:  ANDAMAN ISLANDS,MADRAS; SRI LANKA:  COLOMBO",no info,11.94,92.626,0.0,0.0,20.0
